2024-01-12 21:40:56,048 - INFO - [Restart 1] 556) Best value: -7.38e-02 | TR length: 4.00e-01 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 21:40:57,293 - INFO - [Restart 1] 560) Best value: -7.38e-02 | TR length: 2.00e-01 | num. restarts: 0/5 | num. successes: 0/10
2024-01-12 21:40:58,625 - INFO - [Restart 1] 564) Best value: -4.65e-02 | TR length: 2.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:40:59,209 - INFO - [Restart 1] 568) Best value: -2.44e-02 | TR length: 2.00e-01 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:41:00,068 - INFO - [Restart 1] 572) Best value: -2.40e-02 | TR length: 2.00e-01 | num. restarts: 0/5 | num. successes: 3/10
2024-01-12 21:41:00,595 - INFO - [Restart 1] 576) Best value: -2.10e-02 | TR length: 2.00e-01 | num. restarts: 0/5 | num. successes: 4/10
2024-01-12 21:41:01,379 - INFO - [Restart 1] 580) Best value: -2.10e-02 | TR length: 2.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:41:01,922 - INFO - [Restart 1] 584) Best value: -2.10e-02 | TR length: 2.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:41:02,475 - INFO - [Restart 1] 588) Best value: -1.43e-02 | TR length: 2.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:41:03,106 - INFO - [Restart 1] 592) Best value: -1.43e-02 | TR length: 2.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:41:03,708 - INFO - [Restart 1] 596) Best value: -1.43e-02 | TR length: 2.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:41:04,274 - INFO - [Restart 1] 600) Best value: -1.43e-02 | TR length: 2.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:41:04,768 - INFO - [Restart 1] 604) Best value: -1.43e-02 | TR length: 2.00e-01 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 21:41:05,294 - INFO - [Restart 1] 608) Best value: -1.43e-02 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 0/10
2024-01-12 21:41:05,725 - INFO - [Restart 1] 612) Best value: -8.53e-03 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:41:06,210 - INFO - [Restart 1] 616) Best value: -6.99e-03 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:41:06,620 - INFO - [Restart 1] 620) Best value: -5.27e-03 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 3/10
2024-01-12 21:41:07,046 - INFO - [Restart 1] 624) Best value: -5.27e-03 | TR length: 1.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:41:07,481 - INFO - [Restart 1] 628) Best value: -5.27e-03 | TR length: 1.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:41:07,912 - INFO - [Restart 1] 632) Best value: -5.27e-03 | TR length: 1.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:41:08,379 - INFO - [Restart 1] 636) Best value: -5.04e-03 | TR length: 1.00e-01 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:41:08,813 - INFO - [Restart 1] 640) Best value: -5.04e-03 | TR length: 1.00e-01 | num. restarts: 1/5 | num. successes: 0/10
2024-01-12 21:41:09,319 - INFO - [Restart 1] 644) Best value: -5.04e-03 | TR length: 1.00e-01 | num. restarts: 2/5 | num. successes: 0/10
2024-01-12 21:41:09,774 - INFO - [Restart 1] 648) Best value: -5.04e-03 | TR length: 1.00e-01 | num. restarts: 3/5 | num. successes: 0/10
2024-01-12 21:41:10,200 - INFO - [Restart 1] 652) Best value: -5.04e-03 | TR length: 1.00e-01 | num. restarts: 4/5 | num. successes: 0/10
2024-01-12 21:41:10,658 - INFO - [Restart 1] 656) Best value: -5.04e-03 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 0/10
2024-01-12 21:41:11,117 - INFO - [Restart 1] 660) Best value: -2.33e-03 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 1/10
2024-01-12 21:41:11,605 - INFO - [Restart 1] 664) Best value: -1.70e-03 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 2/10
2024-01-12 21:41:12,026 - INFO - [Restart 1] 668) Best value: -1.63e-03 | TR length: 5.00e-02 | num. restarts: 0/5 | num. successes: 3/10
